"SAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (Dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"12000","Florida",519,468,397,317,289,348,378,453,491,466,502,531,634,837,1057,1154,1215,1200,1195,1240,1246,1351,1440,1539,1636,1628,1743,1870,1915,1967,2091,2105,2130,2209,2299,2449,2599,2781,3007,3355,3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8939,10145,11354,11942,12846,13939,14829,15610,16436,17601,19081,19763,20073,20825,21641,22310,23496,24500,25378,26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38872,40517,41540,41162,43516,45659,46454,49020,51444,53375,56096,60761
"13000","Georgia",343,303,254,197,202,241,267,300,312,288,308,338,432,592,749,852,899,859,896,997,983,1087,1240,1322,1369,1351,1475,1552,1580,1631,1709,1749,1799,1901,2024,2148,2331,2545,2750,2986,3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8602,9600,10242,11064,12316,13196,14109,14888,15959,16942,17835,18322,19360,20087,21090,22235,23475,24404,26152,27254,28851,29762,30133,30896,32034,33445,34791,35680,35438,34274,34829,36842,37495,37794,39969,41941,43033,44996,46824,48697,51704,55289
"15000","Hawaii *","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1580,1839,2056,2114,2110,2105,2130,2161,2121,2290,2516,2661,2750,2949,3125,3412,3674,3915,4338,4903,5538,5791,6170,6643,7412,7907,8367,8828,9640,10571,11867,12711,13249,14262,15052,15824,16599,17435,18964,20897,22433,23253,24542,25133,25400,25788,25665,26334,26756,27768,29319,30229,31257,32467,34277,36375,38480,40490,41969,41082,41574,42809,43812,43931,46044,47777,49122,51055,52174,53888,56840,60389
"16000","Idaho",499,488,366,268,228,389,394,466,421,421,431,459,594,919,1040,1110,1144,1203,1273,1352,1297,1352,1532,1693,1596,1612,1651,1792,1857,1882,1959,1961,2035,2150,2230,2316,2615,2638,2808,2971,3382,3691,3918,4329,4885,5566,5850,6343,6726,7497,8009,8856,9600,9961,10795,11399,12004,12297,12918,13966,15232,16152,16509,17640,18688,19368,20252,21058,21506,22783,23688,25183,25799,26233,26728,28317,29392,31476,32707,32841,31281,32097,33579,35110,36095,37680,39386,40098,41560,43356,45261,48208,51379
"17000","Illinois",951,810,673,489,441,508,576,654,734,652,710,758,901,1049,1278,1405,1488,1550,1651,1817,1690,1842,2041,2106,2223,2193,2288,2473,2542,2511,2639,2698,2792,2907,2989,3142,3373,3608,3801,4055,4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10117,10950,12136,12869,13412,14784,15545,16370,17310,18669,19888,21025,21253,22724,23317,24349,25633,27066,28422,29930,31068,33212,34299,34594,35212,36519,37975,40365,42513,43460,41180,42278,44194,46029,47047,49238,51443,52036,53645,56512,58273,61957,67095
"18000","Indiana",605,512,435,308,294,357,419,481,546,472,518,552,726,919,1150,1209,1265,1211,1316,1448,1357,1525,1719,1786,1952,1810,1908,2011,2046,2023,2141,2223,2264,2421,2509,2639,2877,3058,3170,3419,3741,3849,4151,4503,5136,5472,5907,6540,7197,7968,8732,9365,10292,10686,11243,12460,13154,13868,14664,15646,16942,17768,18121,19411,20232,21297,22047,23089,24096,25790,26600,28153,28639,28918,29521,30791,31566,33123,34055,35408,34267,35695,37799,39433,39766,41188,42667,43645,45116,47100,48757,51691,56153
"19000","Iowa",571,501,396,293,252,271,418,391,513,451,468,494,603,829,1024,1004,1096,1238,1211,1621,1362,1539,1647,1743,1676,1815,1696,1784,1969,2017,2053,2085,2207,2307,2455,2571,2851,3082,3105,3335,3698,3923,4082,4559,5466,5657,6293,6640,7300,8406,9016,9607,10894,11268,11548,12924,13505,14141,14954,15446,16803,17628,17924,19086,19053,20677,21388,23209,24197,25207,25740,27390,28162,28772,29383,31704,32621,34448,36680,38703,37286,38312,41036,42873,43439,44699,46104,46291,47286,49212,50149,53057,56973
"20000","Kansas",526,460,394,267,251,288,360,387,427,383,382,425,556,860,1062,1182,1179,1142,1304,1350,1314,1481,1622,1864,1779,1839,1800,1871,1966,2144,2149,2211,2275,2351,2420,2558,2731,2933,3075,3321,3665,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10075,11342,12213,12643,13827,14524,15193,15805,16533,17433,18438,18934,20115,20853,21599,22349,23688,24958,26221,26927,28253,29112,29248,30074,30843,32545,35690,38057,41257,39431,39960,43015,45294,46174,47013,47332,47326,48756,50811,52820,55677,59324
"21000","Kentucky",388,322,287,209,204,232,264,293,339,296,305,322,401,551,717,778,815,835,870,1001,940,998,1172,1256,1327,1311,1368,1452,1508,1561,1621,1651,1750,1844,1928,1990,2150,2345,2518,2733,3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8152,9056,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22445,23224,24868,25596,26057,26687,28087,29241,30660,31728,33002,32397,33409,34799,35875,36058,37645,39232,39750,40770,41977,43629,47058,50699
"22000","Louisiana",409,353,315,238,226,263,289,328,352,347,359,365,465,617,811,896,908,845,890,1023,1082,1132,1234,1309,1374,1364,1419,1532,1650,1669,1716,1715,1770,1841,1944,2036,2174,2369,2576,2805,2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8849,10059,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22312,22746,23997,25663,26289,27022,28065,30139,33850,36432,38522,36930,38242,39124,41003,41376,43085,43113,42725,44074,46062,47606,50810,54435
