,Year,Florida,Pennsylvania,New Hampshire,Texas,Louisiana,Minnesota,South Carolina,Washington,New Jersey,Virginia,Utah,Arkansas,Maine,Michigan,Kansa,Oregon,Alabama,Colorado,Idaho,Iowa,North Carolina,Connecticut,North Dakota,California,Ohio,Tennessee,New Mexico,West Virginia,Wisconsin,Nevada,Alaska,Maryland,Oklahoma,Mississippi,Delaware,Illinois,Indiana,New York,Arizona,Georgia,Kentucky,South Dakota,Massachusetts,Vermont,Missouri,Nebraska,Rhode Island,Montana,Wyoming
14,2004,70.8,49.1,43.0,65.2,67.1,41.3,63.2,48.4,53.0,55.9,48.7,61.0,40.4,44.6,55.1,48.4,63.3,45.8,44.2,48.5,59.3,48.8,40.5,58.9,51.3,58.5,53.5,52.7,43.5,50.8,29.3,55.2,60.1,64.0,55.8,52.6,52.2,45.2,60.4,64.0,56.4,46.3,47.6,41.8,55.0,49.8,49.3,42.8,42.4
15,2005,70.8,49.5,44.0,66.0,67.5,43.1,63.1,47.3,53.4,55.9,49.3,62.0,41.8,46.0,55.9,47.7,63.4,46.8,43.6,49.6,59.4,49.5,42.4,58.6,51.8,58.8,54.7,52.8,45.1,50.7,29.2,55.2,60.8,64.3,55.7,53.7,52.8,46.2,61.1,63.8,56.8,47.3,48.4,43.4,56.2,50.7,50.1,43.1,42.8
16,2006,71.4,50.8,45.8,67.1,67.8,44.4,63.6,47.5,55.0,56.6,49.2,62.0,44.0,47.0,56.9,48.0,64.2,46.5,44.2,50.4,59.8,51.1,43.8,58.6,52.7,58.9,54.7,53.0,46.0,50.8,26.4,56.5,62.2,64.8,57.3,54.0,53.4,47.6,61.1,64.5,56.8,48.1,50.1,45.1,56.8,51.1,51.8,44.4,43.2
17,2007,71.8,49.5,43.1,64.8,67.4,42.4,64.3,46.8,53.6,56.8,49.9,61.8,40.7,46.1,55.1,47.8,64.4,46.2,44.8,48.9,60.5,49.5,41.8,58.9,52.3,59.9,54.2,53.3,44.7,51.5,28.1,55.7,60.0,65.0,56.3,53.7,53.3,45.7,61.6,64.8,57.7,46.8,48.3,42.2,56.2,50.0,50.3,44.0,43.3
18,2008,70.8,48.8,43.8,65.5,66.6,39.4,62.9,45.8,53.6,55.7,48.1,59.9,41.6,44.0,53.6,46.8,62.9,44.9,42.5,45.9,59.3,49.7,39.3,58.9,50.6,57.6,53.6,51.8,41.8,50.4,25.1,55.3,59.6,63.3,56.3,50.9,51.0,45.8,60.6,63.5,55.4,43.8,48.6,43.0,53.4,47.7,50.8,41.4,40.7
19,2009,71.2,48.4,43.0,65.8,66.8,40.1,62.7,46.4,52.7,55.2,48.4,59.9,40.9,43.8,53.6,47.3,62.9,45.2,42.8,46.7,58.9,48.8,38.5,58.8,50.5,57.6,54.3,51.7,42.4,50.4,26.8,54.6,59.4,63.6,55.4,51.4,51.3,45.0,61.1,63.4,55.4,43.6,47.7,42.3,54.0,47.6,49.8,41.1,40.9
20,2010,69.2,50.1,46.0,65.1,66.5,42.8,62.6,47.1,54.7,55.9,48.3,61.2,44.6,47.1,55.3,47.1,62.7,46.2,43.3,48.2,59.0,51.4,40.9,57.7,51.7,57.9,54.2,52.0,45.5,50.0,27.4,55.8,60.3,63.5,56.7,52.9,52.6,47.2,60.4,63.0,56.0,45.1,50.4,44.9,55.2,49.3,52.0,41.6,42.0
21,2011,71.7,50.4,44.9,67.3,67.7,42.0,64.1,45.5,54.9,57.0,47.6,61.8,42.8,45.6,55.2,46.3,63.8,45.4,42.4,48.4,60.4,50.9,40.7,57.4,52.3,58.9,54.6,53.5,44.1,49.6,27.0,56.5,61.6,64.4,57.4,53.1,53.1,47.1,60.3,64.6,56.9,44.8,49.7,44.3,55.6,48.8,51.6,41.6,41.1
22,2012,71.9,51.8,46.6,67.8,68.7,45.2,64.5,47.1,55.9,57.6,50.9,63.6,43.9,48.4,58.2,48.0,64.9,48.3,45.1,52.1,60.7,52.5,44.1,59.5,54.0,60.3,56.0,54.3,47.4,52.4,24.3,57.5,63.2,65.7,58.5,55.8,55.1,48.8,62.1,65.5,58.4,49.3,51.3,45.8,58.5,52.7,52.9,44.5,44.8
23,2013,71.7,49.0,44.2,65.1,66.2,39.3,62.3,47.2,53.2,55.1,47.8,59.6,42.0,44.1,53.7,47.6,62.6,45.1,43.7,46.7,58.6,49.8,38.8,59.3,50.9,57.1,53.7,51.8,41.8,50.5,27.8,54.7,58.8,63.1,55.8,51.1,51.2,45.7,60.4,63.4,55.0,44.0,48.8,43.2,53.6,48.5,50.6,42.4,41.7
24,2014,70.6,47.4,43.0,64.8,65.1,38.6,62.2,48.4,51.9,54.4,50.4,58.7,41.2,41.9,53.7,49.6,62.0,46.1,45.1,45.5,58.4,48.7,39.0,61.4,49.2,56.6,54.8,50.8,40.2,53.0,30.3,53.6,58.9,62.3,54.7,49.5,49.4,44.5,62.2,63.0,54.3,43.7,47.7,42.0,52.9,48.0,49.7,41.9,42.1
25,2015,73.4,49.5,43.6,65.8,68.1,43.5,64.5,50.0,53.9,56.5,50.7,61.4,41.2,45.1,56.3,50.4,64.6,47.4,46.4,49.3,60.5,49.8,43.4,60.8,51.6,59.0,54.9,53.1,44.8,52.9,30.0,55.4,60.8,65.3,56.4,52.9,52.3,45.7,61.8,65.3,56.6,47.5,48.5,42.6,55.8,50.8,50.4,44.9,44.2
26,2016,72.5,50.9,45.7,67.2,68.7,44.6,64.9,48.6,54.9,57.1,50.2,62.8,43.3,47.4,57.2,48.8,65.3,47.3,45.1,50.7,60.8,51.8,44.4,60.1,53.6,60.3,55.5,54.1,46.2,51.9,31.9,56.5,62.3,65.9,57.4,54.7,54.2,47.6,62.2,65.8,57.9,48.4,50.3,44.6,57.4,51.6,52.2,44.6,43.9
27,2017,72.8,50.6,44.9,67.3,68.7,42.6,65.1,46.8,54.6,57.3,50.7,62.5,42.4,46.3,56.5,48.0,65.0,47.9,44.3,50.0,61.0,50.9,42.0,60.3,53.2,60.0,56.4,54.0,44.7,52.2,29.3,56.7,61.8,65.8,57.6,54.4,54.0,46.9,63.0,65.8,57.8,46.8,49.6,43.8,57.1,50.7,51.5,43.2,43.2
28,2018,72.3,49.8,44.4,66.0,67.8,40.6,64.3,48.0,54.2,56.6,50.4,61.2,41.8,45.1,54.6,48.4,64.5,47.2,44.5,47.5,60.4,50.8,39.8,60.1,52.2,59.1,55.5,53.3,43.2,52.0,30.4,55.9,60.2,64.8,57.1,52.5,52.6,46.2,62.3,65.1,57.0,44.1,49.5,43.2,55.2,48.3,51.6,41.3,42.4
29,2019,73.2,49.9,43.2,65.9,67.7,39.3,65.0,46.5,54.3,57.5,47.9,61.2,40.7,43.9,53.8,47.1,65.4,45.3,43.0,46.8,61.3,49.8,38.0,58.4,52.4,59.8,54.4,54.2,42.1,49.9,32.2,56.6,59.9,65.2,57.5,52.1,52.4,45.2,60.3,66.2,57.5,42.3,48.5,41.9,55.0,47.5,50.6,39.9,40.3
30,2020,73.2,51.2,45.8,66.9,68.2,42.4,64.6,48.1,55.5,57.4,50.4,61.1,43.5,46.5,55.6,48.8,64.9,47.3,44.3,49.2,60.8,51.8,42.3,60.5,53.0,59.3,56.0,54.0,44.8,52.4,27.5,57.2,60.7,65.5,58.0,53.3,53.3,47.8,62.6,65.6,57.1,46.8,50.9,44.8,55.8,50.6,52.8,43.3,42.8
31,2021,72.2,51.2,46.1,66.2,67.4,44.3,63.7,48.3,55.1,57.1,50.7,61.2,44.2,47.4,56.1,49.2,64.2,47.4,45.4,50.0,60.2,51.4,43.8,60.3,53.2,59.1,55.4,53.6,45.7,52.6,26.5,56.9,60.8,64.9,57.4,53.8,53.5,47.8,62.1,64.6,57.0,48.0,50.7,45.0,56.3,51.1,52.6,44.0,43.6
