,Year,Save_of_gas,Save_of_EV,Save_of_PHEV,Save_of_FCV,Avg_NE
0,2022.0,1065.7894736842106,3134.375,1437.5,500.0,1690.625
1,2021.0,1169.1919191919192,4024.5098039215686,1971.1538461538462,900.0,2298.5545500251383
2,2020.0,1159.7938144329896,4269.736842105263,1972.2222222222222,750.0,2330.653021442495
3,2019.0,947.8672985781991,3857.1428571428573,2337.5,500.0,2231.547619047619
4,2018.0,920.704845814978,3656.25,1815.2173913043478,500.0,1990.4891304347827
5,2017.0,930.0373134328358,3775.0,2196.4285714285716,750.0,2240.4761904761904
6,2016.0,1197.0338983050847,5677.419354838709,2875.0,1625.0,3392.4731182795695
7,2015.0,1484.0308370044054,8013.888888888889,4236.363636363636,2500.0,4916.750841750842
8,2014.0,1804.5073375262054,8400.0,5944.444444444444,4500.0,6281.481481481482
