country,max_ev_p
Austria,3.7957706166537153
Belgium,4.672966725722512
Croatia,0.10784432671438778
Cyprus,3.723006200555912
Denmark,2.0
Estonia,4.524768725753506
Finland,8.922979622688077
France,4.925790840950758
Germany,0.7219297098162963
Hungary,0.4644486971882821
Ireland,0.4713105570577075
Latvia,1.328374070138151
Liechtenstein,5.324865657059112
Lithuania,1.9305113476993625
Malta,1.7466329966329963
Netherlands,11.129257679957874
Norway,49.1
Poland,0.9110651135895248
Portugal,2.8962761539201365
Romania,0.5817667421221742
Slovenia,0.4097851732273687
Spain,4.503072374102056
Sweden,9.071603504549264
Switzerland,5.139186295503212
Turkey,0.06884046256479895
United Kingdom,4.56867272325413
China,4.640000000000001
United States,2.097191158102652
Iceland,19.0
