time,country,motor,value
2013,Italy,Hybrid electric-petrol,0
2013,Italy,Plug-in hybrid petrol-electric,0
2013,Italy,Diesel (excluding hybrids),707641
2013,Italy,Hybrid diesel-electric,0
2013,Italy,Plug-in hybrid diesel-electric,0
2013,Italy,Hydrogen and fuel cells,0
2013,Italy,Bioethanol,0
2013,Italy,Biodiesel,0
2013,Italy,Bi-fuel,0
2013,Italy,Other,828
2013,Cyprus,Petroleum products,11758
2013,Cyprus,Liquefied petroleum gases (LPG),0
2013,Cyprus,Diesel,2998
2013,Cyprus,Natural Gas,0
2013,Cyprus,Electricity,15
2013,Cyprus,Alternative Energy,15
2013,Cyprus,Petrol (excluding hybrids),11598
2013,Cyprus,Hybrid electric-petrol,160
2013,Cyprus,Plug-in hybrid petrol-electric,0
2013,Cyprus,Diesel (excluding hybrids),2998
2013,Cyprus,Hybrid diesel-electric,0
2013,Cyprus,Plug-in hybrid diesel-electric,0
2013,Cyprus,Hydrogen and fuel cells,0
2013,Cyprus,Bioethanol,0
2013,Cyprus,Biodiesel,0
2013,Cyprus,Bi-fuel,0
2013,Cyprus,Other,0
2013,Latvia,Petroleum products,14293
2013,Latvia,Liquefied petroleum gases (LPG),0
2013,Latvia,Diesel,41502
2013,Latvia,Natural Gas,0
2013,Latvia,Electricity,0
2013,Latvia,Alternative Energy,11
2013,Latvia,Petrol (excluding hybrids),14923
2013,Latvia,Hybrid electric-petrol,0
2013,Latvia,Plug-in hybrid petrol-electric,0
2013,Latvia,Diesel (excluding hybrids),0
2013,Latvia,Hybrid diesel-electric,0
2013,Latvia,Plug-in hybrid diesel-electric,0
2013,Latvia,Hydrogen and fuel cells,0
2013,Latvia,Bioethanol,0
2013,Latvia,Biodiesel,0
2013,Latvia,Bi-fuel,0
2013,Latvia,Other,0
2013,Lithuania,Petroleum products,44919
2013,Lithuania,Liquefied petroleum gases (LPG),3
2013,Lithuania,Diesel,110402
2013,Lithuania,Natural Gas,4
2013,Lithuania,Electricity,4
2013,Lithuania,Alternative Energy,534
2013,Lithuania,Petrol (excluding hybrids),0
2013,Lithuania,Hybrid electric-petrol,0
2013,Lithuania,Plug-in hybrid petrol-electric,0
2013,Lithuania,Diesel (excluding hybrids),0
2013,Lithuania,Hybrid diesel-electric,0
2013,Lithuania,Plug-in hybrid diesel-electric,0
2013,Lithuania,Hydrogen and fuel cells,0
2013,Lithuania,Bioethanol,0
2013,Lithuania,Biodiesel,0
2013,Lithuania,Bi-fuel,0
2013,Lithuania,Other,523
2013,Hungary,Petroleum products,52677
2013,Hungary,Liquefied petroleum gases (LPG),1
2013,Hungary,Diesel,72343
2013,Hungary,Natural Gas,244
2013,Hungary,Electricity,19
2013,Hungary,Alternative Energy,1917
2013,Hungary,Petrol (excluding hybrids),52677
2013,Hungary,Hybrid electric-petrol,0
2013,Hungary,Plug-in hybrid petrol-electric,0
2013,Hungary,Diesel (excluding hybrids),72343
2013,Hungary,Hybrid diesel-electric,0
