"GEO","TIME","UNIT","NA_ITEM","Value","Flag and Footnotes"
"European Union - 27 countries (from 2020)","1993","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1993","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1994","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1994","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1994","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1995","Chain linked volumes, index 2010=100","Gross domestic product at market prices","76.109",""
"European Union - 27 countries (from 2020)","1995","Current prices, million euro","Gross domestic product at market prices","6,337,767.2",""
"European Union - 27 countries (from 2020)","1995","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,356,984.4",""
"European Union - 27 countries (from 2020)","1996","Chain linked volumes, index 2010=100","Gross domestic product at market prices","77.450",""
"European Union - 27 countries (from 2020)","1996","Current prices, million euro","Gross domestic product at market prices","6,636,555.1",""
"European Union - 27 countries (from 2020)","1996","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,504,218.1",""
"European Union - 27 countries (from 2020)","1997","Chain linked volumes, index 2010=100","Gross domestic product at market prices","79.509",""
"European Union - 27 countries (from 2020)","1997","Current prices, million euro","Gross domestic product at market prices","6,819,250.1",""
"European Union - 27 countries (from 2020)","1997","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,730,326.2",""
"European Union - 27 countries (from 2020)","1998","Chain linked volumes, index 2010=100","Gross domestic product at market prices","81.897",""
"European Union - 27 countries (from 2020)","1998","Current prices, million euro","Gross domestic product at market prices","7,110,925.9",""
"European Union - 27 countries (from 2020)","1998","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,992,553.7",""
"European Union - 27 countries (from 2020)","1999","Chain linked volumes, index 2010=100","Gross domestic product at market prices","84.313",""
"European Union - 27 countries (from 2020)","1999","Current prices, million euro","Gross domestic product at market prices","7,430,972.4",""
"European Union - 27 countries (from 2020)","1999","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,257,808.6",""
"European Union - 27 countries (from 2020)","2000","Chain linked volumes, index 2010=100","Gross domestic product at market prices","87.571",""
"European Union - 27 countries (from 2020)","2000","Current prices, million euro","Gross domestic product at market prices","7,869,397.3",""
"European Union - 27 countries (from 2020)","2000","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,615,542.5",""
"European Union - 27 countries (from 2020)","2001","Chain linked volumes, index 2010=100","Gross domestic product at market prices","89.439",""
"European Union - 27 countries (from 2020)","2001","Current prices, million euro","Gross domestic product at market prices","8,241,913.5",""
"European Union - 27 countries (from 2020)","2001","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,820,657.3",""
"European Union - 27 countries (from 2020)","2002","Chain linked volumes, index 2010=100","Gross domestic product at market prices","90.381",""
"European Union - 27 countries (from 2020)","2002","Current prices, million euro","Gross domestic product at market prices","8,538,761.6",""
"European Union - 27 countries (from 2020)","2002","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,924,124.8",""
"European Union - 27 countries (from 2020)","2003","Chain linked volumes, index 2010=100","Gross domestic product at market prices","91.159",""
"European Union - 27 countries (from 2020)","2003","Current prices, million euro","Gross domestic product at market prices","8,767,546.8",""
"European Union - 27 countries (from 2020)","2003","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,009,511.3",""
"European Union - 27 countries (from 2020)","2004","Chain linked volumes, index 2010=100","Gross domestic product at market prices","93.463",""
"European Union - 27 countries (from 2020)","2004","Current prices, million euro","Gross domestic product at market prices","9,167,911.5",""
"European Union - 27 countries (from 2020)","2004","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,262,484.1",""
"European Union - 27 countries (from 2020)","2005","Chain linked volumes, index 2010=100","Gross domestic product at market prices","95.217",""
"European Union - 27 countries (from 2020)","2005","Current prices, million euro","Gross domestic product at market prices","9,560,845.5",""
"European Union - 27 countries (from 2020)","2005","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,455,146.8",""
"European Union - 27 countries (from 2020)","2006","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.513",""
"European Union - 27 countries (from 2020)","2006","Current prices, million euro","Gross domestic product at market prices","10,112,436.1",""
"European Union - 27 countries (from 2020)","2006","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,816,999.1",""
"European Union - 27 countries (from 2020)","2007","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.598",""
"European Union - 27 countries (from 2020)","2007","Current prices, million euro","Gross domestic product at market prices","10,738,795.8",""
"European Union - 27 countries (from 2020)","2007","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,155,758.2",""
"European Union - 27 countries (from 2020)","2008","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.247",""
"European Union - 27 countries (from 2020)","2008","Current prices, million euro","Gross domestic product at market prices","11,085,284.5",""
"European Union - 27 countries (from 2020)","2008","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,227,048.5",""
"European Union - 27 countries (from 2020)","2009","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.849",""
"European Union - 27 countries (from 2020)","2009","Current prices, million euro","Gross domestic product at market prices","10,587,550.8",""
"European Union - 27 countries (from 2020)","2009","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,744,119.8",""
"European Union - 27 countries (from 2020)","2010","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.000",""
"European Union - 27 countries (from 2020)","2010","Current prices, million euro","Gross domestic product at market prices","10,980,305.7",""
"European Union - 27 countries (from 2020)","2010","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,980,305.7",""
"European Union - 27 countries (from 2020)","2011","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.832",""
"European Union - 27 countries (from 2020)","2011","Current prices, million euro","Gross domestic product at market prices","11,323,915.7",""
"European Union - 27 countries (from 2020)","2011","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,181,500.6",""
"European Union - 27 countries (from 2020)","2012","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.085",""
"European Union - 27 countries (from 2020)","2012","Current prices, million euro","Gross domestic product at market prices","11,391,843.7",""
"European Union - 27 countries (from 2020)","2012","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,099,420.4",""
"European Union - 27 countries (from 2020)","2013","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.043",""
"European Union - 27 countries (from 2020)","2013","Current prices, million euro","Gross domestic product at market prices","11,520,159.1",""
"European Union - 27 countries (from 2020)","2013","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,094,809.0",""
"European Union - 27 countries (from 2020)","2014","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.627",""
"European Union - 27 countries (from 2020)","2014","Current prices, million euro","Gross domestic product at market prices","11,783,874.3",""
"European Union - 27 countries (from 2020)","2014","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,268,779.4",""
"European Union - 27 countries (from 2020)","2015","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.976",""
"European Union - 27 countries (from 2020)","2015","Current prices, million euro","Gross domestic product at market prices","12,214,623.9",""
"European Union - 27 countries (from 2020)","2015","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,526,723.6",""
"European Union - 27 countries (from 2020)","2016","Chain linked volumes, index 2010=100","Gross domestic product at market prices","107.084",""
"European Union - 27 countries (from 2020)","2016","Current prices, million euro","Gross domestic product at market prices","12,552,500.0",""
"European Union - 27 countries (from 2020)","2016","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,758,144.2",""
"European Union - 27 countries (from 2020)","2017","Chain linked volumes, index 2010=100","Gross domestic product at market prices","110.096",""
"European Union - 27 countries (from 2020)","2017","Current prices, million euro","Gross domestic product at market prices","13,076,045.7",""
"European Union - 27 countries (from 2020)","2017","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,088,889.3",""
"European Union - 27 countries (from 2020)","2018","Chain linked volumes, index 2010=100","Gross domestic product at market prices","112.370",""
"European Union - 27 countries (from 2020)","2018","Current prices, million euro","Gross domestic product at market prices","13,531,477.0",""
"European Union - 27 countries (from 2020)","2018","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,338,614.1",""
"European Union - 27 countries (from 2020)","2019","Chain linked volumes, index 2010=100","Gross domestic product at market prices","114.427",""
"European Union - 27 countries (from 2020)","2019","Current prices, million euro","Gross domestic product at market prices","14,017,090.6",""
"European Union - 27 countries (from 2020)","2019","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,564,423.1",""
"European Union - 27 countries (from 2020)","2020","Chain linked volumes, index 2010=100","Gross domestic product at market prices","107.634",""
"European Union - 27 countries (from 2020)","2020","Current prices, million euro","Gross domestic product at market prices","13,399,689.6",""
"European Union - 27 countries (from 2020)","2020","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,818,562.7",""
"European Union - 27 countries (from 2020)","2021","Chain linked volumes, index 2010=100","Gross domestic product at market prices","113.353",""
"European Union - 27 countries (from 2020)","2021","Current prices, million euro","Gross domestic product at market prices","14,447,940.6",""
