State,Biodiesel,CNG,E85,Electric(stations / charging outlets),Hydrogen,LNG,Propane,Total
Alabama,5,29,31,101 / 203,1,2,104,375

Alaska,0,1,0,2 / 3,0,0,7,11

Arizona,76,38,30,322 / 814,0,8,93,1059

Arkansas,4,16,47,44 / 65,0,0,50,182

California,62,307,107,"3,329 / 10,331",18,47,370,11242

Colorado,16,42,89,319 / 713,2,1,58,921

Connecticut,3,17,4,243 / 495,1,1,21,542

Delaware,1,1,1,28 / 55,1,0,8,67

District of Columbia,7,2,3,75 / 234,0,0,0,246

Florida,17,51,74,"731 / 1,710",0,1,153,2006

Georgia,23,37,58,"477 / 1,164",0,3,87,1372

Hawaii,8,1,3,216 / 493,2,0,4,511

Idaho,3,10,7,31 / 70,0,8,33,131

Illinois,11,50,247,455 / 920,1,1,127,1357

Indiana,7,32,194,149 / 296,0,1,190,720

Iowa,10,10,214,85 / 156,0,0,33,423

Kansas,5,16,26,158 / 551,0,1,41,640

Kentucky,4,8,68,45 / 93,0,1,50,224

Louisiana,2,24,9,48 / 82,0,2,43,162

Maine,3,2,0,54 / 87,0,0,16,108

Maryland,9,12,34,385 / 853,0,0,32,940

Massachusetts,11,22,6,397 / 959,1,1,36,1036

Michigan,11,26,241,326 / 786,2,0,112,1178

Minnesota,6,22,289,238 / 509,0,0,48,874

Mississippi,4,8,3,33 / 36,0,1,114,166

Missouri,4,22,99,188 / 526,0,0,69,720

Montana,7,2,2,15 / 45,0,0,57,113

Nebraska,3,11,82,31 / 57,0,0,27,180

Nevada,4,8,20,105 / 308,0,2,34,376

New Hampshire,4,3,0,72 / 131,0,0,18,156

New Jersey,5,27,5,190 / 408,0,0,20,465

New Mexico,6,15,10,34 / 97,0,1,58,187

New York,36,87,85,"602 / 1,281",1,0,80,1570

North Carolina,130,43,26,329 / 798,0,1,115,1113

North Dakota,3,1,53,4 / 5,0,0,24,86

Ohio,12,54,136,193 / 364,1,3,104,674

Oklahoma,5,110,31,42 / 79,0,1,136,362

Oregon,25,15,8,"455 / 1,103",0,3,51,1205

Pennsylvania,6,60,37,276 / 487,1,1,107,699

Rhode Island,6,5,0,68 / 178,0,0,8,197

South Carolina,27,11,68,180 / 328,2,1,56,493

South Dakota,2,0,80,11 / 24,0,0,23,129

Tennessee,35,21,69,373 / 863,0,0,98,1086

Texas,21,116,197,"809 / 2,024",1,16,489,2864

Utah,1,92,3,120 / 269,0,6,46,417

Vermont,2,3,1,105 / 275,0,0,4,285

Virginia,9,21,18,300 / 759,0,1,84,892

Washington,30,24,21,"631 / 1,588",0,1,92,1756

West Virginia,2,3,9,32 / 68,0,0,16,98

Wisconsin,6,57,156,225 / 376,0,1,74,670

Wyoming,14,12,11,15 / 32,0,0,29,98

Total,713,1607,3012,"13,696 / 34,151",35,117,3749,43384
,,,,"13,696 / 34,151",,,,
