State,Biodiesel,CNG,E85,Electric,Hydrogen,LNG,Propane,Total
Alabama,0,1,0,0,0,0,8,9

Alaska,6,11,20,4,0,1,106,148

Arizona,5,6,20,11,0,0,49,91

Arkansas,14,30,33,43,1,1,67,189

California,48,224,58,1392,23,34,227,2006

Colorado,14,29,83,33,1,0,53,213

Connecticut,3,13,0,40,2,1,16,75

Delaware,1,1,1,0,0,0,3,6

District of Columbia,2,2,3,51,0,0,0,58

Florida,15,15,62,357,0,0,71,520

Georgia,25,17,51,44,0,0,57,194

Hawaii,8,0,1,60,1,0,3,73

Idaho,3,0,167,24,0,0,21,215

Illinois,9,8,9,19,0,0,29,74

Indiana,8,27,218,170,1,0,67,491

Iowa,4,9,153,9,0,0,52,227

Kansas,6,4,40,13,0,0,38,101

Kentucky,4,1,29,0,0,0,41,75

Louisiana,2,9,2,12,0,0,22,47

Maine,7,20,4,60,1,0,21,113

Maryland,7,6,23,167,0,0,17,220

Massachusetts,3,1,0,0,0,0,7,11

Michigan,16,16,122,355,4,0,65,578

Minnesota,3,2,364,69,0,0,38,476

Mississippi,4,9,106,36,1,0,68,224

Missouri,3,1,2,6,0,0,39,51

Montana,6,2,1,0,0,0,46,55

Nebraska,143,22,29,152,0,0,63,409

Nevada,2,2,74,0,1,0,18,97

New Hampshire,2,3,68,0,0,0,19,92

New Jersey,5,4,0,15,0,0,12,36

New Mexico,3,23,4,70,0,0,10,110

New York,6,10,9,6,0,0,50,81

North Carolina,5,11,23,27,2,0,41,109

North Dakota,24,105,82,226,9,0,34,480

Ohio,21,15,84,37,1,0,65,223

Oklahoma,6,63,15,0,0,0,56,140

Oregon,26,12,9,313,0,0,32,392

Pennsylvania,8,29,35,33,2,0,69,176

Rhode Island,2,5,0,5,0,0,6,18

South Carolina,30,5,100,82,2,0,27,246

South Dakota,1,0,102,0,0,0,17,120

Tennessee,44,6,44,126,0,0,74,294

Texas,14,35,58,388,1,5,491,992

Utah,5,72,4,13,0,1,29,124

Vermont,12,11,15,90,1,0,56,185

Virginia,1,3,0,8,1,0,5,18

Washington,32,15,19,438,0,0,67,571

West Virginia,2,17,140,60,0,0,48,267

Wisconsin,0,1,3,6,1,0,9,20

Wyoming,13,8,5,0,0,0,22,48

Total,633,941,2494,5070,56,43,2551,11788
