State,Biodiesel,CNG,E85,Electric,Hydrogen,LNG,Propane,Total
Alabama,12,5,16,0,0,0,158,191

Alaska,1,1,0,0,0,0,9,11

Arizona,13,39,26,5,1,5,54,143

Arkansas,7,5,10,0,0,0,41,63

California,39,200,45,411,26,27,189,937

Colorado,19,20,80,1,2,0,46,168

Connecticut,1,12,4,0,2,0,12,31

Delaware,3,1,1,0,0,0,2,7

District of Columbia,1,2,3,0,1,0,0,7

Florida,17,15,30,4,2,0,57,125

Georgia,28,15,37,1,0,0,41,122

Hawaii,5,0,0,3,1,0,3,12

Idaho,8,7,5,5,0,1,25,51

Illinois,5,23,204,6,1,0,72,311

Indiana,7,7,112,0,0,0,43,169

Iowa,3,0,124,0,0,0,26,153

Kansas,6,3,31,0,0,0,45,85

Kentucky,2,0,15,0,0,0,25,42

Louisiana,1,6,5,0,0,0,14,26

Maine,3,1,0,0,0,0,9,13

Maryland,9,4,15,0,0,0,18,46

Massachusetts,6,21,2,3,1,0,22,55

Michigan,16,13,95,0,7,0,68,199

Minnesota,0,1,351,2,0,0,27,381

Mississippi,6,2,4,0,0,0,35,47

Missouri,5,10,97,0,1,0,69,182

Montana,6,3,1,0,0,0,43,53

Nebraska,4,1,48,0,0,0,18,71

Nevada,13,11,14,0,2,0,28,68

New Hampshire,11,3,0,2,0,0,9,25

New Jersey,3,14,2,2,0,0,10,31

New Mexico,8,8,10,0,0,0,51,77

New York,12,97,38,1,7,0,22,177

North Carolina,138,14,19,3,0,0,53,227

North Dakota,3,2,30,0,1,0,23,59

Ohio,21,9,63,0,1,0,68,162

Oklahoma,5,49,11,0,0,0,58,123

Oregon,25,13,8,23,0,0,30,99

Pennsylvania,12,22,26,0,2,0,65,127

Rhode Island,2,5,0,0,0,0,5,12

South Carolina,30,3,87,0,2,0,20,142

South Dakota,2,0,78,0,0,0,16,96

Tennessee,36,4,29,1,0,0,44,114

Texas,20,20,41,3,0,4,541,629

Utah,4,59,5,0,0,0,24,92

Vermont,1,2,0,2,1,0,4,10

Virginia,17,11,9,3,1,0,38,79

Washington,47,15,15,3,0,0,64,144

West Virginia,1,0,3,0,1,0,8,13

Wisconsin,1,18,127,0,0,0,45,191

Wyoming,15,7,6,0,0,0,23,51

Total,660,803,1982,484,63,37,2420,6449
