State,Biodiesel,CNG,E85,Electric,Hydrogen,LNG,Propane,Total
Alabama,2,1,0,0,0,0,7,10

Alaska,10,21,29,50,0,2,113,225

Arizona,5,8,30,38,0,0,39,120

Arkansas,79,32,31,710,1,6,62,921

California,84,258,88,5176,21,43,233,5903

Colorado,19,36,85,256,1,0,52,449

Connecticut,2,16,1,217,2,1,15,254

Delaware,1,1,1,20,0,0,4,27

District of Columbia,7,2,3,62,0,0,0,74

Florida,17,33,54,996,0,0,65,1165

Georgia,25,25,61,370,0,1,57,539

Hawaii,9,1,3,351,3,0,3,370

Idaho,7,4,186,87,0,0,21,305

Illinois,6,8,9,13,0,5,25,66

Indiana,11,40,218,527,1,0,102,899

Iowa,7,20,169,183,0,1,174,554

Kansas,7,6,28,109,0,0,36,186

Kentucky,4,4,55,45,0,0,47,155

Louisiana,2,20,4,53,0,1,34,114

Maine,12,23,8,546,1,0,17,607

Maryland,9,9,25,553,0,0,17,613

Massachusetts,3,1,1,24,0,0,12,41

Michigan,19,19,163,721,4,0,73,999

Minnesota,11,11,336,235,0,0,33,626

Mississippi,4,12,106,146,1,0,64,333

Missouri,4,5,1,37,0,0,125,172

Montana,6,2,4,2,0,0,45,59

Nebraska,135,36,22,524,0,0,97,814

Nevada,3,1,58,4,0,0,18,84

New Hampshire,3,9,75,28,0,0,22,137

New Jersey,5,3,0,40,0,0,10,58

New Mexico,5,29,5,219,0,0,10,268

New York,8,11,13,33,0,0,45,110

North Carolina,6,7,20,107,1,2,39,182

North Dakota,38,111,81,693,9,0,63,995

Ohio,19,25,97,175,1,2,66,385

Oklahoma,5,94,27,32,0,0,149,307

Oregon,24,14,8,915,0,0,34,995

Pennsylvania,7,51,33,263,2,0,73,429

Rhode Island,7,6,1,143,0,0,6,163

South Carolina,60,10,82,218,2,1,44,417

South Dakota,2,0,87,13,0,0,17,119

Tennessee,44,9,52,866,0,0,102,1073

Texas,20,62,81,1599,1,10,458,2231

Utah,3,88,3,72,0,7,27,200

Vermont,12,20,19,370,1,0,58,480

Virginia,2,3,1,51,0,0,3,60

Washington,33,24,24,1325,1,1,68,1476

West Virginia,4,45,115,211,0,1,54,430

Wisconsin,2,3,4,42,0,0,12,63

Wyoming,13,11,9,2,0,0,17,52

Total,832,1290,2616,19472,53,84,2967,27314
