State,Biodiesel,CNG,E85,Electric,Hydrogen,LNG,Propane,Total
Alabama,5,4,15,0,0,1,128,153

Alaska,1,2,0,0,0,0,8,11

Arizona,14,36,32,8,1,5,61,157

Arkansas,6,4,13,1,0,0,51,75

California,35,213,54,428,22,32,227,1011

Colorado,14,23,86,5,1,0,50,179

Connecticut,1,13,1,4,2,0,16,37

Delaware,3,1,1,0,0,0,3,8

District of Columbia,1,2,3,1,1,0,0,8

Florida,16,14,42,7,0,0,75,154

Georgia,26,18,41,1,0,0,47,133

Hawaii,5,0,1,7,1,0,3,17

Idaho,8,8,7,5,0,1,29,58

Illinois,5,25,219,19,1,0,72,341

Indiana,7,10,138,0,0,0,47,202

Iowa,3,0,144,6,0,0,20,173

Kansas,6,2,39,0,0,0,37,84

Kentucky,2,0,21,0,0,0,44,67

Louisiana,1,7,5,0,0,0,16,29

Maine,3,1,0,0,0,0,5,9

Maryland,9,5,19,2,0,0,22,57

Massachusetts,6,22,3,3,1,0,22,57

Michigan,15,14,109,11,5,0,67,221

Minnesota,0,1,360,2,0,0,33,396

Mississippi,5,2,3,0,0,0,40,50

Missouri,3,9,103,1,1,0,76,193

Montana,6,3,2,0,0,0,53,64

Nebraska,3,1,58,0,0,0,17,79

Nevada,6,11,26,1,2,0,43,89

New Hampshire,11,3,0,4,0,0,7,25

New Jersey,4,20,4,4,0,0,10,42

New Mexico,7,10,11,0,0,0,54,82

New York,16,101,75,9,10,0,27,238

North Carolina,141,16,20,5,0,0,72,254

North Dakota,3,2,55,0,1,0,24,85

Ohio,21,11,67,1,1,0,68,169

Oklahoma,5,50,13,0,0,0,58,126

Oregon,24,12,8,36,0,0,32,112

Pennsylvania,6,24,37,1,2,0,70,140

Rhode Island,2,5,0,1,0,0,5,13

South Carolina,30,5,101,1,2,0,26,165

South Dakota,2,0,101,0,0,0,18,121

Tennessee,49,5,39,1,0,0,76,170

Texas,17,30,48,26,1,4,520,646

Utah,2,72,5,0,0,0,30,109

Vermont,2,2,0,2,1,0,6,13

Virginia,15,11,11,3,1,0,37,78

Washington,28,15,15,15,0,0,69,142

West Virginia,1,1,3,0,1,0,8,14

Wisconsin,0,16,132,5,0,0,50,203

Wyoming,14,7,6,0,0,0,25,52

Total,615,869,2296,626,58,43,2604,7111
